no	front	reading	meaning_vi	han_viet	years
351	職務	しょくむ	Chức vụ, nhiệm vụ	CHỨC VỤ	2015,2020,2021
352	分担	ぶんたん	Phân công, chia sẻ trách nhiệm	PHÂN ĐẢM	2016,2019,2022
353	担当	たんとう	Đảm đương, phụ trách	ĐẢM ĐƯƠNG	2014,2018,2023
354	監督	かんとく	Giám sát, đạo diễn	GIÁM ĐỐC	2015,2017,2020
355	指導	しどう	Chỉ đạo, hướng dẫn	CHỈ ĐẠO	2016,2020,2021
356	管理	かんり	Quản lý	QUẢN LÝ	2014,2019,2022
357	運営	うんえい	Vận hành, điều hành	VẬN HÀNH	2015,2018,2023
358	運用	うんよう	Vận dụng, sử dụng	VẬN DỤNG	2016,2017,2021
359	展開	てんかい	Triển khai, mở rộng	TRIỂN KHAI	2014,2020,2022
360	推進	すいしん	Thúc đẩy, xúc tiến	THÚC ĐẨY	2015,2019,2023
361	打ち出す	うちだす	Đề xuất, tung ra	ĐỀ XUẤT	2016,2018,2021
362	打ち立てる	うちたてる	Xây dựng, lập ra	XÂY DỰNG	2014,2017,2022
363	切り捨てる	きりすてる	Loại bỏ, bỏ đi	LOẠI BỎ	2015,2020,2023
364	切り離す	きりはなす	Tách rời, phân tách	TÁCH RỜI	2016,2019,2021
365	つながり	つながり	Kết nối, liên hệ	KẾT NỐI	2014,2018,2022
366	つなぐ	つなぐ	Nối, kết nối	NỐI	2015,2017,2023
367	広まる	ひろまる	Lan rộng, phổ biến	LAN RỘNG	2016,2020,2021
368	広める	ひろめる	Phổ biến, truyền bá	PHỔ BIẾN	2014,2019,2022
369	伝わる	つたわる	Được truyền đạt	TRUYỀN ĐẠT	2015,2018,2023
370	伝える	つたえる	Truyền đạt, chuyển đến	TRUYỀN ĐẠT	2016,2017,2020
371	受け継ぐ	うけつぐ	Tiếp nhận, kế thừa	TIẾP NHẬN	2014,2020,2021
372	受け継がれる	うけつがれる	Được kế thừa, được truyền lại	ĐƯỢC KẾ THỪA	2015,2019,2022
373	引き継ぐ	ひきつぐ	Kế thừa, bàn giao	KẾ THỪA	2016,2018,2023
374	つきまとう	つきまとう	Ám ảnh, theo đuổi	ÁM ẢNH	2014,2017,2021
375	さかのぼる	さかのぼる	Truy ngược lại, ngược thời gian	TRUY NGƯỢC	2015,2020,2022
376	見渡す	みわたす	Nhìn toàn cảnh	NHÌN TOÀN	2016,2019,2023
377	見落とす	みおとす	Bỏ sót, bỏ qua	BỎ SÓT	2014,2018,2021
378	見出す	みいだす	Phát hiện, tìm ra	PHÁT HIỆN	2015,2017,2022
379	打ち込む	うちこむ	Đắm chìm, tập trung	ĐẮM CHÌM	2016,2020,2023
380	追い求める	おいもとめる	Theo đuổi, tìm kiếm	THEO ĐUỔI	2014,2019,2020
381	踏み込む	ふみこむ	Đi sâu vào, dấn thân	ĐI SÂU VÀO	2015,2018,2021
382	切り込む	きりこむ	Cắt vào, tiếp cận sâu	CẮT VÀO	2016,2017,2022
383	引き出す	ひきだす	Rút ra, khai thác	RÚT RA	2014,2020,2023
384	引き付ける	ひきつける	Thu hút, lôi cuốn	THU HÚT	2015,2019,2021
385	引き込む	ひきこむ	Lôi vào, kéo vào	LÔI VÀO	2016,2018,2022
386	引き起こす	ひきおこす	Gây ra, dẫn đến	GÂY RA	2014,2017,2023
387	立ち向かう	たちむかう	Đối diện, đương đầu	ĐỐI DIỆN	2015,2020,2021
388	立ち上がる	たちあがる	Đứng lên, bắt đầu lại	ĐỨNG LÊN	2016,2019,2022
389	持ち続ける	もちつづける	Duy trì, giữ vững	DUY TRÌ	2014,2018,2023
390	こだわり	こだわり	Sự kiên định, sự chú trọng	SỰ KIÊN ĐỊNH	2015,2017,2020
391	やりがい	やりがい	Động lực, ý nghĩa công việc	ĐỘNG LỰC	2016,2020,2021
392	生きがい	いきがい	Lẽ sống, niềm đam mê sống	LẼ SỐNG	2014,2019,2022
393	使命感	しめいかん	Cảm giác sứ mệnh	SỨ MỆNH	2015,2018,2023
394	向上心	こうじょうしん	Tinh thần tiến thủ, chí cầu tiến	TIẾN THỦ	2016,2017,2021
395	探求心	たんきゅうしん	Tinh thần tìm tòi, khám phá	TÒ MÒ	2014,2020,2022
396	好奇心	こうきしん	Sự tò mò, hiếu kỳ	HIẾU KỲ	2015,2019,2023
397	向上する	こうじょうする	Tiến bộ, phát triển	TIẾN BỘ	2016,2018,2021
398	成長する	せいちょうする	Trưởng thành, phát triển	TRƯỞNG THÀNH	2014,2017,2022
399	変わる	かわる	Thay đổi, biến đổi	THAY ĐỔI	2015,2020,2023
400	変える	かえる	Đổi thay, thay đổi	ĐỔI THAY	2016,2019,2021
