no	front	reading	meaning_vi	han_viet	years
84	薄める	うすめる	pha loãng, suy yếu		
85	薄れる	うすれる	trở nên mờ nhạt, phai màu		
86	透き通る	すきとおる	trở nên rõ ràng, trở nên trong suốt		
87	静まる・鎮まる	しずまる	trở nên yên lặng, được bình tĩnh lại		
88	静める・鎮める	しずめる	yên tĩnh, hạ hỏa, giải tỏa		
89	優れる	すぐれる	giỏi, ưu tú, hoàn hảo		
90	落ち着く	おちつく	giữ bình tĩnh, không phô trương		
91	長引く	ながびく	được kéo dài		
92	衰える	おとろえる	trở nên yếu, từ chối		
93	備わる	そなわる	được trang bị, được ưu đãi với		
94	備える	そなえる	chuẩn bị, trang bị, cung cấp		
95	蓄える	たくわえる	dự trữ, tiết kiệm, có trữ lượng lớn		
96	整う	ととのう	đã sẵn sàng, được chuẩn bị tốt		
97	整える・調える	ととのえる	chuẩn bị, sửa, điều chỉnh		
98	覆う	おおう	phủ, bao bọc		
99	照る	てる	chiếu sáng		
100	照らす	てらす	được chiếu sáng		
101	染まる	そまる	được nhuộm, bị ảnh hưởng bởi		
102	染める	そめる	nhuộm, đỏ mặt		
103	ダブる	ダブる	gấp đôi		
104	あこがれる	あこがれる	mong ước, mơ ước		
105	うらやむ	うらやむ	đố kỵ, ghen tị		
106	あきらめる	あきらめる	từ bỏ		
107	あきれる	あきれる	bị shock, ngạc nhiên		
108	恐れる	おそれる	sợ, dữ tợn, khủng khiếp		
109	恨む	うらむ	hận, căm thù		
110	慰める	なぐさめる	an ủi, động viên		
