no	front	reading	meaning_vi	han_viet	years	usage	examples_json
1	すらすら	すらすら	Trôi chảy, không bị vấp hoặc ngừng lại			Dùng khi nói, đọc, viết hoặc giải bài diễn ra thuận lợi.	[{"jp":"彼は難しい漢字もすらすら読める。","vi":"Anh ấy đọc trôi chảy cả những chữ Hán khó.","context":"Khen khả năng đọc"},{"jp":"準備してきたので、発表はすらすら進んだ。","vi":"Vì đã chuẩn bị nên phần trình bày diễn ra trôi chảy.","context":"Thuyết trình công việc"},{"jp":"質問への答えがすらすら出てきた。","vi":"Câu trả lời cho các câu hỏi cứ thế bật ra trôi chảy.","context":"Phỏng vấn"},{"jp":"このペンはインクがよく出て、すらすら書ける。","vi":"Cây bút này ra mực đều nên viết rất trơn tru.","context":"Miêu tả đồ dùng"},{"jp":"説明を聞いたら、問題がすらすら解けた。","vi":"Nghe giải thích xong tôi giải bài một cách thuận lợi.","context":"Học tập"}]
2	はらはら	はらはら	Thót tim, thấp thỏm vì lo diễn biến xấu			Không phải “áy náy”; thường dùng はらはらする hoặc はらはらしながら見る.	[{"jp":"子どもが高い所に登るのを、はらはらしながら見ていた。","vi":"Tôi thấp thỏm nhìn đứa trẻ trèo lên chỗ cao.","context":"Lo cho an toàn"},{"jp":"試合は最後までどちらが勝つか分からず、はらはらした。","vi":"Đến cuối vẫn chưa biết bên nào thắng nên tôi hồi hộp thót tim.","context":"Xem thể thao"},{"jp":"彼の大胆な運転にはいつもはらはらさせられる。","vi":"Cách lái xe liều lĩnh của anh ấy lúc nào cũng khiến tôi thót tim.","context":"Giao thông"},{"jp":"締め切り直前まで連絡がなくて、はらはらした。","vi":"Tận sát hạn vẫn không có liên lạc nên tôi thấp thỏm.","context":"Công việc"},{"jp":"秘密がばれそうな場面を見て、はらはらした。","vi":"Xem cảnh bí mật sắp bị lộ, tôi hồi hộp không yên.","context":"Xem phim"}]
3	ぼろぼろ	ぼろぼろ	Tả tơi; xuống cấp nghiêm trọng; kiệt quệ			Dùng cho quần áo, đồ vật, cơ thể hoặc tinh thần.	[{"jp":"十年使った財布がぼろぼろになった。","vi":"Chiếc ví dùng mười năm đã rách tả tơi.","context":"Đồ dùng cũ"},{"jp":"引っ越し作業で体がぼろぼろだ。","vi":"Sau khi chuyển nhà, người tôi rã rời.","context":"Mệt thể chất"},{"jp":"何度も批判されて、心がぼろぼろになった。","vi":"Bị chỉ trích nhiều lần khiến tinh thần tôi suy sụp.","context":"Tổn thương tinh thần"},{"jp":"古い壁から塗料がぼろぼろ落ちている。","vi":"Sơn từ bức tường cũ đang bong ra lả tả.","context":"Nhà xuống cấp"},{"jp":"転んで、ズボンの膝がぼろぼろになった。","vi":"Tôi bị ngã làm đầu gối quần rách te tua.","context":"Tai nạn nhỏ"}]
4	ぺらぺら	ぺらぺら	Nói ngoại ngữ lưu loát; mỏng; nói huyên thuyên			Nghĩa thay đổi theo kết hợp: 日本語がぺらぺら, 紙がぺらぺら, 秘密をぺらぺら話す.	[{"jp":"彼女は日本語がぺらぺらだ。","vi":"Cô ấy nói tiếng Nhật lưu loát.","context":"Năng lực ngoại ngữ"},{"jp":"三年住んだからといって、すぐぺらぺらになるわけではない。","vi":"Không phải cứ sống ba năm là lập tức nói lưu loát.","context":"Học ngôn ngữ"},{"jp":"この紙はぺらぺらで、正式な資料には向かない。","vi":"Giấy này quá mỏng, không hợp làm tài liệu chính thức.","context":"Chất liệu mỏng"},{"jp":"人の秘密をぺらぺら話してはいけない。","vi":"Không được đem bí mật của người khác kể tuồn tuột.","context":"Phê bình nhiều lời"},{"jp":"緊張すると、つい余計なことまでぺらぺらしゃべってしまう。","vi":"Hễ căng thẳng là tôi lỡ nói huyên thuyên cả chuyện không cần thiết.","context":"Hội thoại đời thường"}]
5	ますます	ますます	Càng ngày càng; hơn nữa			Biểu thị mức độ tiếp tục tăng, thường đi với なる hoặc tăng/giảm.	[{"jp":"日本で働いて、日本語の勉強がますます楽しくなった。","vi":"Làm việc ở Nhật khiến việc học tiếng Nhật ngày càng thú vị.","context":"Thay đổi tích cực"},{"jp":"午後から雨がますます強くなった。","vi":"Từ chiều mưa càng lúc càng nặng hạt.","context":"Thời tiết"},{"jp":"経験を積むほど、彼への信頼はますます深まった。","vi":"Càng tích lũy kinh nghiệm, niềm tin dành cho anh ấy càng sâu sắc.","context":"Quan hệ công việc"},{"jp":"物価が上がり、生活はますます厳しくなっている。","vi":"Giá cả tăng khiến cuộc sống ngày càng khó khăn.","context":"Đời sống xã hội"},{"jp":"皆様のますますのご活躍をお祈り申し上げます。","vi":"Kính chúc quý vị ngày càng thành công.","context":"Lời chúc trang trọng"}]
6	のろのろ	のろのろ	Chậm chạp, lề mề			Mang sắc thái tốc độ chậm gây sốt ruột; dùng cho người, xe hoặc tiến độ.	[{"jp":"前の車がのろのろ走っている。","vi":"Chiếc xe phía trước đang chạy chậm rì.","context":"Giao thông"},{"jp":"のろのろしていると電車に遅れるよ。","vi":"Cứ lề mề là trễ tàu đấy.","context":"Thúc giục"},{"jp":"休日の朝はのろのろ起きて、ゆっくり朝食を取る。","vi":"Sáng ngày nghỉ tôi dậy chậm rãi rồi thong thả ăn sáng.","context":"Sinh hoạt"},{"jp":"手続きがのろのろ進んでいて、なかなか終わらない。","vi":"Thủ tục tiến triển chậm chạp, mãi không xong.","context":"Tiến độ công việc"},{"jp":"渋滞でバスはのろのろとしか進めなかった。","vi":"Vì tắc đường, xe buýt chỉ có thể nhích chậm.","context":"Ùn tắc"}]
7	するする	するする	Trơn tru; nhẹ nhàng đi xuyên hoặc trượt qua			Tả vật/người di chuyển không vướng mắc; khác すらすら vốn hay nói về lời nói, đọc, viết.	[{"jp":"猫が狭い隙間をするすると通り抜けた。","vi":"Con mèo nhẹ nhàng luồn qua khe hẹp.","context":"Chuyển động linh hoạt"},{"jp":"ロープを引くと、荷物がするすると上がった。","vi":"Kéo dây thì kiện hàng trượt lên nhẹ nhàng.","context":"Vận chuyển vật"},{"jp":"この麺は細くて、するすると食べられる。","vi":"Mì này sợi nhỏ nên ăn vào rất trơn.","context":"Ăn uống"},{"jp":"エレベーターがするすると上の階へ上がっていく。","vi":"Thang máy lướt êm lên tầng trên.","context":"Chuyển động êm"},{"jp":"指輪がするすると指から抜けた。","vi":"Chiếc nhẫn trượt khỏi ngón tay một cách dễ dàng.","context":"Vật trượt"}]
8	そわそわ	そわそわ	Bồn chồn, đứng ngồi không yên			Dùng khi mong chờ hoặc lo lắng nên không thể bình tĩnh.	[{"jp":"面接の結果が気になって、一日中そわそわしていた。","vi":"Lo kết quả phỏng vấn nên cả ngày tôi bồn chồn.","context":"Chờ kết quả"},{"jp":"旅行の前日は楽しみでそわそわして眠れない。","vi":"Tối trước chuyến đi tôi háo hức đến mức bồn chồn không ngủ được.","context":"Mong chờ"},{"jp":"彼は時計ばかり見て、朝からそわそわしている。","vi":"Từ sáng anh ấy cứ nhìn đồng hồ và đứng ngồi không yên.","context":"Quan sát hành vi"},{"jp":"大事な発表の直前は、誰でも少しそわそわする。","vi":"Ngay trước bài thuyết trình quan trọng, ai cũng hơi bồn chồn.","context":"Công việc"},{"jp":"連絡が来るまでそわそわして、仕事に集中できなかった。","vi":"Tôi bồn chồn đến khi có liên lạc nên không tập trung làm việc được.","context":"Không thể tập trung"}]
9	まずまず	まずまず	Khá ổn, tạm được, đạt mức chấp nhận được			Đánh giá không xuất sắc nhưng nhìn chung hài lòng.	[{"jp":"初めて作ったにしては、まずまずの出来だ。","vi":"Với lần đầu làm thì kết quả khá ổn.","context":"Đánh giá sản phẩm"},{"jp":"今日の面接はまずまずうまくいったと思う。","vi":"Tôi nghĩ buổi phỏng vấn hôm nay diễn ra tương đối ổn.","context":"Tự đánh giá"},{"jp":"売り上げは目標に届かなかったが、まずまずだった。","vi":"Doanh số chưa đạt mục tiêu nhưng cũng tạm ổn.","context":"Kinh doanh"},{"jp":"体調はどう？―うん、まずまずだよ。","vi":"Sức khỏe thế nào? — Ừ, cũng tàm tạm.","context":"Hội thoại sức khỏe"},{"jp":"混雑していたわりには、まずまず早く入れた。","vi":"So với mức đông thì chúng tôi vào được khá nhanh.","context":"Xếp hàng"}]
10	とうとう	とうとう	Cuối cùng, rốt cuộc sau một quá trình dài			Kết quả cuối cùng thường gây chú ý; có thể tích cực hoặc tiêu cực.	[{"jp":"三回目の挑戦で、とうとう試験に合格した。","vi":"Đến lần thử thứ ba tôi cuối cùng cũng đỗ kỳ thi.","context":"Kết quả tích cực"},{"jp":"古いパソコンがとうとう動かなくなった。","vi":"Chiếc máy tính cũ rốt cuộc đã ngừng chạy.","context":"Kết quả tiêu cực"},{"jp":"待っていた電車はとうとう来なかった。","vi":"Chuyến tàu tôi chờ cuối cùng vẫn không đến.","context":"Phủ định"},{"jp":"長い話し合いの末、とうとう結論が出た。","vi":"Sau cuộc thảo luận dài, cuối cùng cũng có kết luận.","context":"Công việc"},{"jp":"彼はとうとう本当のことを話してくれた。","vi":"Cuối cùng anh ấy cũng kể sự thật cho tôi.","context":"Tiết lộ"}]
